tns_name,previous_name,repeater_name,gl,gb,exp_up,exp_low,bonsai_snr,bonsai_dm,snr_fitb,dm_fitb,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,previous_rp_name,is_repeater,dm_exc_ne2001,dm_exc_ymw16,ra,dec,redshift,fre_width,fre_width_ob,in_duration,energy,luminosity,T_B,log_dm_fitb,log_bonsai_dm,log_dm_exc_ne2001,log_dm_exc_ymw16,log_bc_width,log_scat_time,log_flux,log_fluence,log_width_fitb,log_high_freq,log_low_freq,log_peak_freq,log_fre_width,log_redshift,log_in_duration,log_energy,log_luminosity,log_T_B
FRB20201130A,-9999,FRB20201130A,185.42,-29.04,15.0,-9999.0,9.3,287.1,12.83,288.27,6.88,0.006,0.7,2.9,0,0.00298,16.6,-17.9,800.2,462.9,627.5,337877.662,336066,46.021,FRB20201130A,1,115.9,109.8,-4967.306,-4995.5295,0.02124178235822535,344.4648531894295,337.30000000000007,2.9180161363146153,1.9650217165866698e+37,4.843908952254183e+39,3.720285885191501e+25,2.4597994481031464,2.458033192496506,2.064083435963596,2.040602340114073,0.8375884382355113,-2.221848749616356,-0.1549019599857432,0.4623979978989561,-2.5257837359237447,2.903198547042978,2.6654871807828107,2.797613730153076,2.537144916099724,-1.6728090452240043,0.46508768916573273,37.2933673543764,39.68519597140222,25.570576314503008
FRB20191106C,-9999,FRB20191106C,105.7,73.22,65.6,-9999.0,9.36,331.6,19.83,333.057,10.81,0.01,0.177,1.48,0,0.00512,10.5,-10.9,800.2,435.6,618.5,493027.006,500853,46.368,FRB20191106C,1,154.0,156.25,-4899.7115,-4977.99875,0.0709034168988327,390.4513858013144,364.6,4.78101005114608,1.1273569087430605e+38,1.443854018363706e+40,4.4733148510836595e+25,2.5225185658398255,2.520614521878236,2.187520720836463,2.193820026016113,1.0338256939533104,-2.0,-0.7520267336381934,0.17026171539495738,-2.290730039024169,2.903198547042978,2.6390878710837375,2.7913397039651393,2.5915669685781473,-1.1493328352745993,0.6795196567166408,38.05206143065025,40.15952328587629,25.650629466756612
FRB20200619A,-9999,FRB20200619A,83.96,27.77,109.7,-9999.0,11.48,438.3,18.36,439.44,4.92,0.00066,0.29,0.678,0,0.00072,30.9,-158.0,498.1,400.2,441.4,352956.034,353963,43.146,FRB20200619A,1,194.25,197.3,-4863.215,-4971.721,0.12178748449883298,109.82299473243579,97.90000000000003,0.641832798055922,1.1105631228385444e+38,5.328710700064947e+40,2.0932029842351e+27,2.6428995860133027,2.6417714706539592,2.288361027472952,2.295127085252191,0.6919651027673603,-3.1804560644581312,-0.5376020021010439,-0.16877030613293661,-3.1426675035687315,2.697316541732383,2.6022770843001926,2.644832328825636,2.0406932821892267,-0.9143973397193247,-0.19257809395482006,38.04554324827068,40.72662214268866,27.3208113452325
FRB20190804E,-9999,FRB20190804E,82.89,34.11,93.7,-9999.0,33.61,360.7,90.49,362.68,29.49,0.0029,1.02,4.87,0,0.005,42.8,-156.0,534.1,410.8,468.4,463513.055,460378,50.702,FRB20190804E,1,159.65,163.05,-4868.8285,-4971.96555,0.07813595086655604,132.93416274184636,123.30000000000001,4.637634053461653,3.422538189417457e+38,7.728461385070196e+40,7.35777145831054e+25,2.5595236070578937,2.5571461423183632,2.203168922875464,2.2123208031419757,1.469674772551798,-2.537602002101044,0.00860017176191757,0.6875289612146344,-2.3010299956639813,2.727622577969137,2.6136304349252404,2.6706168864003255,2.1236366045971127,-1.1071490983822225,0.6662964763346377,38.53434830278433,40.88809304133299,25.866746293968596
FRB20190804E,-9999,FRB20190804E,82.89,34.11,93.7,-9999.0,33.61,360.7,90.49,362.68,29.49,0.0029,1.02,4.87,1,0.001433,50.7,-288.0,477.5,400.2,436.3,463513.055,460378,50.702,FRB20190804E,1,159.65,163.05,-4868.8285,-4971.96555,0.07813595086655604,83.3399090019848,77.30000000000001,1.3291459197221098,3.18798764313159e+38,7.198820884513507e+40,8.48026923820326e+25,2.5595236070578937,2.5571461423183632,2.203168922875464,2.2123208031419757,1.469674772551798,-2.537602002101044,0.00860017176191757,0.6875289612146344,-2.8437538096026556,2.678973375919765,2.6022770843001926,2.63978521298682,1.920853021919706,-1.1071490983822225,0.12357266239596346,38.50351662937082,40.857261367919484,25.928409640795607
FRB20190915D,-9999,FRB20190915D,122.17,-16.0,92.5,-9999.0,31.56,485.2,44.74,488.864,15.73,0.00483,2.56,32.0,0,0.00499,8.09,-13.0,800.2,400.2,546.8,853445.286,852143,45.251,FRB20190915D,1,199.7,200.2,-4993.609,-4976.069,0.12857111230545396,451.42844492218165,400.00000000000006,4.421520226409471,7.25557544616723e+39,6.550746281357673e+41,1.3162726923214742e+27,2.6891880569467945,2.685920792194535,2.3003780648707024,2.3014640731432996,1.1967287226232868,-2.316052869248488,0.4082399653118496,1.505149978319906,-2.3018994543766103,2.903198547042978,2.6022770843001926,2.7378285058957847,2.6545889208993234,-0.8908565988739938,0.6455716160520291,39.860671862422876,41.81629077898618,27.11934587142245
FRB20200929C,-9999,FRB20200929C,128.47,-44.22,55.7,-9999.0,10.37,407.6,44.78,413.54,34.410000000000004,0.0088,0.6,8.7,0,0.005,80.0,-166.0,569.6,453.2,508.1,625525.241,623417,49.933,FRB20200929C,1,187.55,192.05,-4990.9795,-4990.263,0.11341537193019281,129.6015492926745,116.40000000000003,4.49068705718703,1.4179621181003692e+39,1.0888143580052734e+41,5.7757273177615264e+25,2.616517523414803,2.610234175334389,2.2731170684867417,2.283414311501195,1.5366846726209302,-2.0555173278498313,-0.2218487496163564,0.9395192526186185,-2.3010299956639813,2.7555699806288,2.6562899011913594,2.705949194910296,2.112610193241655,-0.9453280786704384,0.6523127914082334,39.15166462850591,41.03695383919872,25.76160668123974
FRB20200929C,-9999,FRB20200929C,128.47,-44.22,55.7,-9999.0,10.37,407.6,44.78,413.54,34.410000000000004,0.0088,0.6,8.7,1,0.00441,70.2,-190.0,547.5,428.9,484.6,625525.241,623417,49.933,FRB20200929C,1,187.55,192.05,-4990.9795,-4990.263,0.11341537193019281,132.0510631109209,118.60000000000002,3.96078598443896,1.3523803236202298e+39,1.0384558903549605e+41,6.349481343512961e+25,2.616517523414803,2.610234175334389,2.2731170684867417,2.283414311501195,1.5366846726209302,-2.0555173278498313,-0.2218487496163564,0.9395192526186185,-2.3555614105321614,2.738384123512156,2.632356046239073,2.6853834098014873,2.120741901956029,-0.9453280786704384,0.5977813765400531,39.1310988433971,41.01638805408991,25.80273825145736
FRB20201221B,-9999,FRB20201221B,170.55,33.81,90.3,-9999.0,10.34,509.9,11.71,510.37,2.9499999999999997,0.0026,0.38,0.91,0,0.00132,37.0,-144.0,535.7,400.2,451.3,374535.458,374180,39.899,FRB20201221B,1,229.75,232.2,-4937.4005,-4975.1095,0.16557799746820812,157.93581865694227,135.50000000000006,1.1324853444962217,2.8624594976356586e+38,1.3932302499488454e+41,1.3707823600489017e+28,2.707885138249601,2.7074850119674734,2.361255520058149,2.365862215402555,0.469822015978163,-2.5850266520291822,-0.42021640338318983,-0.040958607678906384,-2.87942606879415,2.7289216463728594,2.6022770843001926,2.654465333520146,2.1984806359041236,-0.7809973741514094,0.05403259051215096,38.45673935034261,41.14402289533202,28.136968507063113
FRB20200809E,-9999,FRB20200809E,123.86,20.07,509.8,410.0,21.19,1698.4,30.93,1702.89,10.81,0.0059,1.22,7.0,0,0.00293,0.2,-96.0,466.5,400.2,400.2,347919.301,348036,44.098,FRB20200809E,1,814.6,809.85,-4989.52,-4958.054,0.8301026004625243,121.33580241066538,66.30000000000001,1.6010031346108666,5.363912019897372e+40,1.7108773414635675e+43,1.144953319687202e+29,3.231186595152307,3.2300399811579426,2.9109444057499787,2.908404586526924,1.0338256939533104,-2.2291479883578558,0.08635983067474821,0.8450980400142568,-2.5331323796458904,2.668851648082519,2.6022770843001926,2.6022770843001926,2.0839889665317317,-0.08086822562287468,0.20439218222715083,40.7294816458413,43.23321887462875,29.058787780636145
